email,month,year,date,status,subitem_name,amount,vendor,budget_code,invoice,description,notes
gapsa.finance@gapsa.upenn.edu,July - 7,2022,07/27/2022,paid,3.3.1 Executive Board Meetings,948.44,Landmark Americana,3036,0,Exec Board Happy Hour,"NA"
gapsa.programming@gapsa.upenn.edu,July - 7,2022,07/19/2022,paid,4.5.2 Division Development (Programming),84,lascala fire,3030,20,Food for Exec Meeting,NA
gapsa.programming@gapsa.upenn.edu,July - 7,2022,07/20/2022,paid,4.5.2 Division Development (Programming),76.91,Goldie,3030,NA,Food for Division Meeting,NA
gapsa.programming@gapsa.upenn.edu,July - 7,2022,07/24/2022,paid,4.5.2 Division Development (Programming),41.59,Saxbys,3030,51,Programming Division Meeting,NA
gapsa.programming@gapsa.upenn.edu,July - 7,2022,07/26/2022,paid,4.5.2 Division Development (Programming),14,Insomnia Cookies,3030,3929694,Food for Meeting,NA
gapsa.programming@gapsa.upenn.edu,July - 7,2022,07/10/2022,paid,4.5.1 Programming (Social),NA,Fogo De Chao,3030,NA,Alumni Brunch,Please contact Vice President Thakkar for Invoice and Amount.
gapsa.programming@gapsa.upenn.edu,July - 7,2022,07/02/2022,paid,4.4.1 Programming (Cultural),450,American Revolution Museum Tickets,3030,NA,American Revolution Museum Tickets,NA
gapsa.programming@gapsa.upenn.edu,August - 8,2022,08/31/2022,paid,4.4.2 Subcommittee Development (Cultural Programming),8866.2,Penn CLub NY,3030,7648,Alumni Reception,NA
gapsa.programming@gapsa.upenn.edu,August - 8,2022,08/08/2022,paid,4.5.2 Division Development (Programming),267,Via Locusta,3030,45,GAPSA Programming Meeting,NA
gapsa.reporting@gapsa.upenn.edu,August - 8,2022,NA,paid,2.6.2 Financial Reporting Subcommittee Development,NA,NA,NA,NA,NA,NA
gapsa.evp@gapsa.upenn.edu,September - 9,2022,08/27/2022,paid,1.3.1 Leadership Development (EVP),1700,Jack's Wife Frieda,3033,NA,Dinn at Exec retreat,Rough estimate
gapsa.evp@gapsa.upenn.edu,September - 9,2022,08/26/2022,paid,1.3.1 Leadership Development (EVP),10000,Hotel/Food,3033,NA,Accommodations and meals at retreat (meals through hotel),Rough estimate again
gapsa.evp@gapsa.upenn.edu,September - 9,2022,08/27/2022,paid,1.3.1 Leadership Development (EVP),2000,Lunch from Mediterranean place,3033,NA,Lunch for conference day,Rough estimate
