email,month,year,subitem_name,date,budget_code,vendor,description,payment_mode,payment_number,amount_spent,status,notes
gapsa.reporting@gapsa.upenn.edu,October - 10,2022,4.3.1 Academic Programming,01/24/2022,3037 Public Relations,xx,xx,PCard,xx,500,In Progress,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/02/2022,3039 EVP Leadership Development,United By Blue,ISA & Research Council Meeting (Food),PCard,NA,24.75,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.4 Wellness Subcommittee,09/04/2022,3039 EVP Leadership Development,Dunkin Donuts,ISA - GAPSA ISA Survey Meeting (Snacks),PCard,NA,27.28,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.4 Wellness Subcommittee,09/04/2022,3039 EVP Leadership Development,Boba King,ISA - GAPSA ISA Survey Meeting (Drinks),PCard,NA,37.19,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/04/2022,3039 EVP Leadership Development,Vietnam Café - 1,"ISA, Advocacy, Operations, RC Meeting & Dinner",PCard,NA,206.77,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/04/2022,3039 EVP Leadership Development,Vietnam Café - 2,"ISA, Advocacy, Operations, RC Meeting & Dinner/Desserts",PCard,NA,48.07,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/05/2022,3039 EVP Leadership Development,United By Blue,ISA + GAPSA Academic Programming Meeting (Coffee/Snacks),PCard,NA,24,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/09/2022,3039 EVP Leadership Development,United By Blue,Advocacy + Research Council Meeting (Coffee/Snacks),PCard,NA,14.25,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/10/2022,3039 EVP Leadership Development,United By Blue,Advocacy + Student Podcast Group Meeting (Coffee/Snacks),PCard,NA,22.5,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.4 Wellness Subcommittee,09/17/2022,3039 EVP Leadership Development,Tea Do,ISA - International Speed Friending Event Follow-up Meeting,PCard,NA,22.73,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.5.3 International Student Affairs Subcommittee,09/23/2022,3039 EVP Leadership Development,United By Blue,ISA + GAPSA Professional Council Meeting (Coffee/Snacks),PCard,NA,26.4,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,3.5.3 Logistics Subcommittee,09/23/2022,4267 Operations Division Development,Acme,"Utensils, plates, and miscellaneous items for Alumni Dinner (GradFest)",PCard,NA,59.88,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.2.1 Equity and Access Initiatives,09/29/2022,3039 EVP Leadership Development,United By Blue -1,External Affairs & Wellness Meeting (Coffee/Snacks),PCard,NA,8,Paid,NA
gapsa.advocacy@gapsa.upenn.edu,September - 9,2022,5.2.1 Equity and Access Initiatives,09/29/2022,3039 EVP Leadership Development,United By Blue-2,External Affairs & Wellness Meeting (Coffee/Snacks),PCard,NA,8,Paid,NA
gapsa.logistics@gapsa.upenn.edu,September - 9,2022,3.2.2 Survey Incentives,09/07/2022,4264 Pilot Funds,Sweet Green,Exec Food Order,Concur,NA,378.82,In Progress,n/a
gapsa.logistics@gapsa.upenn.edu,September - 9,2022,3.2.2 Survey Incentives,09/21/2022,4264 Pilot Funds,Allegro Pizza,Exec Food Order,Concur,NA,150.76,In Progress,n/a
gapsa.logistics@gapsa.upenn.edu,September - 9,2022,3.3.4 GA meetings,09/19/2022,4264 Pilot Funds,Qu Japanese Bistro,Committee Development,Concur,NA,53.36,In Progress,Committee meeting for developing outreach initiatives. Improvement of Logistics scope within GAPSA/GA
gapsa.logistics@gapsa.upenn.edu,September - 9,2022,3.3.2 GA swag,09/28/2022,4264 Pilot Funds,Giant,"Drinks, cups, and plates for GA meeting",Concur,NA,45,In Progress,There were no drink delivery options so I went to Giant to buy plates and drinks myself for the meeting
gapsa.evp@gapsa.upenn.edu,September - 9,2022,1.2.2 EVP Miscellaneous,09/24/2022,4268 Grad Fest,Starbucks,EBoard coffee,PCard,NA,13.25,Paid,NA
gapsa.evp@gapsa.upenn.edu,September - 9,2022,1.2.2 EVP Miscellaneous,09/24/2022,4268 Grad Fest,Starbucks,EBoard coffee,PCard,NA,4.95,Paid,NA
gapsa.evp@gapsa.upenn.edu,September - 9,2022,1.2.2 EVP Miscellaneous,09/26/2022,4268 Grad Fest,United by Blue,Meeting with GAPSA Alumni,PCard,NA,21.3,Paid,NA
